price,freight_value,review_score,product_weight_g,customer_lat,customer_lng,Types of products,payment_value,seller_lat,seller_lng,volume,year,delivery_days,estimated_days
29.99,8.72,4,500.0,-23.57480921065843,-46.587471259651394,Household,18.12,-23.68011442853022,-46.4524537436668,1976.0,2017,8.0,16.0
118.7,22.76,4,400.0,-12.169859806853127,-44.988369250768905,Fashion,141.46,-19.81011863229108,-43.98472732006267,4693.0,2018,14.0,20.0
159.9,19.22,5,420.0,-16.74633718068107,-48.51462382317262,Electronics,179.12,-21.36235769739203,-48.232975701561735,9576.0,2018,9.0,27.0
45.0,27.2,5,450.0,-5.767733285303072,-35.275466808694375,Household,72.2,-19.840168078827364,-43.92329932223438,6000.0,2017,14.0,27.0
19.9,8.72,5,250.0,-23.675037359389663,-46.524784094929146,Household,28.62,-23.551706513599484,-46.260979398542325,11475.0,2018,3.0,13.0
147.9,27.36,4,7150.0,-23.548581,-50.55066000000001,Electronics,175.26,-23.465304114698757,-46.51148732089968,42250.0,2017,17.0,23.0
19.9,16.05,1,300.0,-27.42076320667784,-52.67418761142168,Furniture,35.95,-21.592175195884263,-46.89389599036144,18375.0,2017,10.0,42.0
149.99,19.77,5,9750.0,-23.47875410713256,-47.4679305,Furniture,161.42,-23.48262344063541,-46.37448952833195,72324.0,2017,18.0,25.0
99.0,30.53,1,9000.0,-22.88650136386977,-43.26883386620703,Tools,259.06,-20.297536576315476,-40.40086853731229,19656.0,2017,13.0,22.0
98.0,16.13,4,325.0,-23.60210458728148,-46.60860664946042,Electronics,114.13,-30.00731246906908,-51.19422244408211,9261.0,2017,6.0,26.0
31.9,18.23,5,450.0,-20.38523748903572,-43.50551302553521,Fashion,50.13,-21.188764942887172,-47.76987064730896,4352.0,2018,12.0,41.0
19.9,12.8,5,200.0,-23.7119191917883,-46.68725184540367,Household,32.7,-21.7664768468313,-48.83154737836604,2560.0,2018,5.0,14.0
38.25,16.11,4,583.0,-23.428080849010357,-46.79365920690751,Household,54.36,-26.91626999999994,-48.65245999999996,8400.0,2018,11.0,20.0
132.4,14.05,5,150.0,-16.712156999999944,-49.24825099999997,Fashion,146.45,-15.83612305024187,-48.04018517722967,8000.0,2018,14.0,27.0
1299.0,77.45,4,20850.0,-22.878476937821056,-43.31517005147447,Tools,1376.45,-23.47709322844152,-46.13538429666762,125000.0,2018,18.0,35.0
27.99,15.1,5,300.0,-28.190231258277556,-48.66460352500113,Electronics,43.09,-23.62358155176294,-46.61056007369148,816.0,2017,13.0,34.0
17.9,11.85,5,250.0,-22.887514996879027,-47.19573904628551,Household,29.75,-21.7664768468313,-48.83154737836604,4800.0,2017,6.0,20.0
76.0,16.97,4,325.0,-12.244947317790988,-38.98031811740434,Electronics,62.15,-23.29818595956356,-45.974828011182304,3344.0,2017,13.0,28.0
109.9,8.96,2,525.0,-23.57230126005544,-46.65200020136758,Fashion,118.86,-23.67774108964741,-46.66864662392521,4368.0,2017,21.0,10.0
79.99,8.91,5,250.0,-23.52946681265509,-46.63502230919265,Fashion,88.9,-23.665703457960586,-46.51808196779969,3960.0,2018,4.0,14.0
9.5,7.78,3,200.0,-23.544749472387306,-46.57186015127811,Electronics,17.28,-23.537511255832708,-46.63705730743676,2800.0,2018,5.0,18.0
129.99,57.58,4,14950.0,-26.88088214922204,-49.14153434581907,Household,187.57,-22.995677703232374,-46.857106243157794,81620.0,2018,18.0,44.0
89.9,14.21,5,600.0,-23.539013392723216,-47.49104229586244,Household,104.11,-21.72886646318172,-48.68881488220222,10725.0,2018,4.0,8.0
109.9,15.53,2,500.0,-22.878151522072766,-43.444642919095145,Fashion,125.43,-23.624784000000005,-46.53954225000001,4224.0,2018,29.0,20.0
90.9,48.64,1,10950.0,-12.929672913250002,-38.44511436823591,Household,227.68,-21.72886646318172,-48.68881488220222,65600.0,2018,12.0,44.0
47.9,12.79,5,200.0,-22.016967296150906,-47.85171546211552,Fashion,60.69,-21.46569907614626,-47.00475479474461,1512.0,2018,9.0,16.0
178.99,13.69,4,292.0,-23.694369129061094,-46.53028316527214,Fashion,192.68,-21.17121748495008,-47.81941847157649,1632.0,2018,14.0,21.0
30.1,33.24,4,850.0,2.8106639999999974,-60.77373299999999,Tools,63.34,-25.508669747227305,-49.33026677895873,8000.0,2018,30.0,47.0
279.0,34.19,2,16450.0,-23.608349214265107,-46.73536441534424,Household,313.19,-22.760477687572443,-47.41281121951772,98560.0,2017,8.0,13.0
186.9,38.0,1,100.0,-8.677580187145876,-35.58735900260141,Electronics,224.9,-24.026786758814687,-46.49304889148245,5967.0,2018,19.0,29.0
49.0,14.1,4,3000.0,-23.64054058006812,-46.75217512101102,Furniture,63.1,-25.464029318048183,-49.30472794690424,8349.0,2017,22.0,27.0
84.9,15.35,5,800.0,-22.78384555780744,-43.41243934409408,Household,100.25,-23.64684593421437,-46.6660547231519,19166.0,2018,19.0,32.0
179.0,9.41,5,425.0,-22.744969047625496,-47.37914712056189,Fashion,188.41,-22.92991227115403,-47.07189552530681,4608.0,2018,2.0,8.0
78.0,28.95,5,850.0,-12.479179309920433,-49.12066779219962,Tools,106.95,-23.693985995008337,-46.70188324132953,36000.0,2018,31.0,31.0
39.9,26.89,4,1207.0,-3.920747424136267,-40.888623260686686,Electronics,66.79,-23.612052666446743,-46.60783466642034,4000.0,2018,20.0,36.0
27.9,15.1,5,200.0,-22.25666743852699,-50.69492739291294,Electronics,43.0,-19.878513898894187,-43.95694702879617,2016.0,2017,8.0,22.0
445.0,63.17,5,683.0,-8.1699101140647,-34.9250627427098,Fashion,508.17,-24.03529260389033,-52.37957021179355,9570.0,2018,17.0,46.0
36.9,12.79,3,700.0,-23.6119461648681,-46.68121078074323,Household,49.69,-21.7664768468313,-48.83154737836604,4800.0,2018,10.0,17.0
119.99,34.2,5,6050.0,-22.609707785965465,-43.7136934532079,Tools,154.19,-20.944705621834668,-45.82709818233235,8000.0,2017,12.0,24.0
339.0,17.12,1,14300.0,-21.881549344197197,-51.84621930031394,Household,356.12,-27.227305885654083,-49.64789177350121,43928.0,2017,34.0,27.0
69.9,25.77,5,281.0,-15.612180691171176,-47.64791849543519,Fashion,95.67,-26.283149245628717,-48.85128463059032,10500.0,2017,8.0,28.0
99.0,22.62,4,450.0,-12.08678562555841,-45.79992414323213,Household,121.62,-22.43774874385965,-47.5583294377924,21000.0,2018,9.0,40.0
139.0,14.72,1,8875.0,-22.79440083319865,-43.17502950513588,Tools,153.72,-20.297536576315476,-40.40086853731229,24080.0,2017,11.0,22.0
69.9,12.43,5,2600.0,-23.221431461827063,-45.888163895493165,Furniture,82.33,-23.693985995008337,-46.70188324132953,15000.0,2018,4.0,8.0
33.9,18.34,5,1150.0,-29.03399624689176,-51.1917479847557,Fashion,52.24,-23.61571809769749,-46.53118432278263,5508.0,2018,4.0,15.0
115.0,15.56,5,450.0,-23.542679676299095,-46.63819683884986,Household,130.56,-27.20981137280685,-49.63292048422235,8000.0,2017,7.0,22.0
39.47,13.37,5,1700.0,-23.55971076646229,-46.8303535073357,Tools,52.84,-23.0122137105142,-47.52203973160603,1936.0,2018,13.0,22.0
53.44,18.47,5,410.0,-23.10254502186099,-52.46962843509759,Tools,71.91,-29.159003201842477,-51.49977005197258,8976.0,2018,7.0,24.0
